setup,direction,bias,session,entry,sl,tp,rr,qty,entry_time,entry_tf,exit,exit_time,result,exit_note,_confirm_check_i15,_confirm_level,r_pnl,equity_r
2,long,bullish,ny,6377.0,6367.0,6402.0,2.5,25,2018-04-04 15:53:00,1m,6402.0,2018-04-04 16:00:00,win,TP,,6371.0,2.446,18.876489795918364
1,short,bearish,asia,6502.0,6512.0,6477.0,1.45,25,2018-04-06 03:16:00,1m,6516.5,2018-04-06 03:30:00,loss,M15_INVALIDATED,7994.0,6496.75,-1.054,17.822489795918365
1,short,bearish,london,6505.5,6515.5,6480.5,2.5,25,2018-04-09 09:10:00,1m,6515.5,2018-04-09 10:30:00,loss,SL,,6496.75,-1.054,16.768489795918367
2,long,bullish,ny,6551.25,6541.25,6576.25,2.5,25,2018-04-09 16:31:00,1m,6576.25,2018-04-09 17:30:00,win,TP,,6559.0,2.446,19.214489795918368
2,long,bullish,london,6597.75,6587.75,6622.75,2.5,25,2018-04-10 10:28:00,1m,6587.75,2018-04-10 10:45:00,loss,SL,,6604.75,-1.054,18.16048979591837
2,long,bullish,ny,6566.75,6556.75,6591.75,2.5,25,2018-04-10 16:05:00,1m,6591.75,2018-04-10 16:15:00,win,TP,,6559.0,2.446,20.60648979591837
2,long,bullish,ny,6581.75,6571.5,6607.375,2.5,24,2018-04-10 19:03:00,1m,6607.375,2018-04-10 19:30:00,win,TP,,6575.5,2.4473170731707317,23.0538068690891
1,short,bearish,ny,6645.75,6655.75,6620.75,2.5,25,2018-04-11 18:20:00,1m,6620.75,2018-04-11 18:45:00,win,TP,,6651.75,2.446,25.499806869089102
1,short,bearish,ny,6629.75,6639.75,6604.75,0.45,25,2018-04-11 19:31:00,1m,6625.25,2018-04-11 19:45:00,win,M15_INVALIDATED,8338.0,6623.5,0.396,25.895806869089103
1,short,bearish,ny,6753.5,6763.5,6728.5,2.5,25,2018-04-20 15:34:00,1m,6728.5,2018-04-20 15:45:00,win,TP,,6747.0,2.446,28.341806869089105
1,short,bearish,ny,6735.0,6745.0,6710.0,2.5,25,2018-04-20 16:43:00,1m,6710.0,2018-04-20 16:45:00,win,TP,,6729.5,2.446,30.787806869089106
2,long,bullish,ny,6652.25,6642.25,6677.25,1.2,25,2018-04-26 19:14:00,1m,6664.25,2018-04-26 20:00:00,win,EOD_CLOSE,,6646.0,1.146,31.933806869089107
2,long,bullish,ny,6674.25,6664.25,6699.25,2.5,25,2018-04-27 19:15:00,1m,6664.25,2018-04-27 19:30:00,loss,SL,,6668.0,-1.054,30.87980686908911
2,long,bullish,london,6656.75,6645.0,6686.125,2.5,21,2018-05-04 09:58:00,1m,6645.0,2018-05-04 10:30:00,loss,SL,,6649.0,-1.0459574468085107,29.833849422280597
2,long,bullish,ny,6810.25,6800.25,6835.25,2.5,25,2018-05-07 15:35:00,1m,6835.25,2018-05-07 15:45:00,win,TP,,6804.75,2.446,32.2798494222806
2,long,bullish,ny,6823.5,6813.5,6848.5,2.5,25,2018-05-09 17:19:00,1m,6848.5,2018-05-09 18:15:00,win,TP,,6815.25,2.446,34.7258494222806
1,short,bearish,ny,6993.25,7003.25,6968.25,0.45,25,2018-05-14 18:04:00,1m,6997.75,2018-05-14 18:15:00,loss,M15_INVALIDATED,10472.0,6987.75,-1.054,33.671849422280594
1,short,bearish,ny,6976.25,6986.25,6951.25,0.25,25,2018-05-14 19:19:00,1m,6973.75,2018-05-14 19:30:00,win,M15_INVALIDATED,10477.0,6971.0,0.196,33.86784942228059
2,long,bullish,ny,6918.5,6908.5,6943.5,2.5,25,2018-05-22 16:36:00,1m,6908.5,2018-05-22 17:45:00,loss,SL,,6912.0,-1.054,32.81384942228059
1,short,bearish,ny,6974.25,6984.25,6949.25,0.8,25,2018-05-25 19:31:00,1m,6966.25,2018-05-25 20:00:00,win,EOD_CLOSE,,6969.0,0.746,33.55984942228059
1,short,bearish,ny,6956.0,6966.0,6931.0,2.5,25,2018-05-29 16:58:00,1m,6931.0,2018-05-29 17:30:00,win,TP,,6961.5,2.446,36.00584942228059
2,long,bullish,london,7200.5,7190.5,7225.5,2.5,25,2018-06-06 15:14:00,1m,7190.5,2018-06-06 15:15:00,loss,SL,,7182.75,-1.054,34.95184942228059
2,long,bullish,ny,7162.5,7152.5,7187.5,2.5,25,2018-06-06 17:01:00,1m,7187.5,2018-06-06 17:15:00,win,TP,,7182.75,2.446,37.397849422280586
2,long,bullish,ny,7200.5,7190.5,7225.5,2.0,25,2018-06-06 18:54:00,1m,7180.5,2018-06-06 19:00:00,loss,M15_INVALIDATED,12042.0,7182.75,-1.054,36.343849422280584
2,long,bullish,ny,7175.5,7165.5,7200.5,0.375,25,2018-06-06 19:31:00,1m,7179.25,2018-06-06 19:45:00,win,M15_INVALIDATED,12045.0,7182.75,0.321,36.66484942228058
1,short,bearish,london,7155.0,7165.0,7130.0,2.5,25,2018-06-08 09:55:00,1m,7130.0,2018-06-08 10:00:00,win,TP,,7144.5,2.446,39.11084942228058
2,long,bullish,asia,7194.25,7184.25,7219.25,2.5,25,2018-06-12 03:12:00,1m,7184.25,2018-06-12 04:15:00,loss,SL,,7188.25,-1.054,38.05684942228058
1,short,bearish,ny,7111.5,7121.75,7085.875,2.5,24,2018-06-27 17:07:00,1m,7121.75,2018-06-27 17:15:00,loss,SL,,7119.5,-1.0526829268292683,37.00416649545131
1,short,bearish,ny,7054.25,7064.25,7029.25,1.325,25,2018-07-02 16:48:00,1m,7041.0,2018-07-02 17:45:00,win,M15_INVALIDATED,13717.0,7039.75,1.271,38.27516649545131
1,short,bearish,ny,7045.5,7055.5,7020.5,2.5,25,2018-07-05 16:55:00,1m,7055.5,2018-07-05 17:00:00,loss,SL,,7052.75,-1.054,37.22116649545131
1,short,bearish,ny,7338.5,7348.5,7313.5,2.5,25,2018-07-23 15:37:00,1m,7313.5,2018-07-23 15:45:00,win,TP,,7346.25,2.446,39.667166495451305
1,short,bearish,ny,7480.25,7490.25,7455.25,0.375,25,2018-08-08 19:28:00,1m,7476.5,2018-08-08 20:00:00,win,EOD_CLOSE,,7474.5,0.321,39.9881664954513
1,short,bearish,ny,7418.5,7428.5,7393.5,0.4,25,2018-08-13 19:02:00,1m,7414.5,2018-08-13 19:15:00,win,M15_INVALIDATED,16488.0,7411.0,0.34600000000000003,40.3341664954513
1,short,bearish,ny,7430.75,7440.75,7405.75,0.025,25,2018-08-23 17:20:00,1m,7431.0,2018-08-23 17:30:00,loss,M15_INVALIDATED,17226.0,7420.75,-1.054,39.2801664954513
2,long,bullish,ny,7459.25,7449.25,7484.25,2.5,25,2018-09-10 17:07:00,1m,7449.25,2018-09-10 17:15:00,loss,1m_SL_first,,7447.25,-1.054,38.226166495451295
2,long,bullish,ny,7468.0,7458.0,7493.0,2.125,25,2018-09-10 19:08:00,1m,7446.75,2018-09-10 19:15:00,loss,M15_INVALIDATED,18336.0,7447.25,-1.054,37.17216649545129
1,short,bearish,asia,7518.25,7528.25,7493.25,2.5,25,2018-09-12 07:59:00,1m,7528.25,2018-09-12 08:00:00,loss,SL,,7539.75,-1.054,36.11816649545129
2,long,bullish,london,7528.25,7518.25,7553.25,2.5,25,2018-09-12 15:33:00,1m,7518.25,2018-09-12 15:45:00,loss,SL,,7503.0,-1.054,35.06416649545129
2,long,bullish,london,7359.0,7349.0,7384.0,2.5,25,2018-10-09 14:32:00,1m,7384.0,2018-10-09 15:30:00,win,TP,,7347.0,2.446,37.51016649545129
2,long,bullish,ny,7103.0,7093.0,7128.0,0.45,25,2018-10-12 19:25:00,1m,7098.5,2018-10-12 19:30:00,loss,M15_INVALIDATED,20573.0,7110.0,-1.054,36.456166495451285
2,long,bullish,london,7122.75,7112.75,7147.75,2.5,25,2018-10-15 08:36:00,1m,7112.75,2018-10-15 09:30:00,loss,SL,,7110.0,-1.054,35.40216649545128
2,long,bullish,london,7115.75,7105.75,7140.75,0.625,25,2018-10-15 10:07:00,1m,7109.5,2018-10-15 11:30:00,loss,M15_INVALIDATED,20636.0,7110.0,-1.054,34.34816649545128
1,short,bearish,ny,7190.75,7200.75,7165.75,2.5,25,2018-10-18 17:25:00,1m,7165.75,2018-10-18 17:30:00,win,TP,,7197.75,2.446,36.79416649545128
1,short,bearish,ny,7134.75,7144.75,7109.75,2.5,25,2018-10-18 19:13:00,1m,7109.75,2018-10-18 19:15:00,win,TP,,7128.5,2.446,39.24016649545128
